"block","code","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","level","card","spec_required","desc"
"D","D737","","","","","","","4","1:N","","Outras Obrigações Tributárias, Ajustes e Informações de valores provenientes de documento fiscal"
"D","D750","","","","True","","","2","1:N","OC","Escrituração Consolidada da Nota Fiscal Fatura Eletrônica de Serviços de Comunicação – NFCom (CÓDIGO 62):"
"D","D760","","","","True","","","3","1:N","OC","Registro Analítico da Escrituração Consolidada da Nota Fiscal Fatura Eletrônica de Serviços de Comunicação – NFCom (CÓDIGO 62):"
"D","D761","","","","True","","","4","1:1","OC","Registro D761: Informações do Fundo de Combate à Pobreza – FCP – (código 62)"
"D","D990","True","","","","","","1","1:1","O","ENCERRAMENTO DO BLOCO D"
"E","E001","True","","","","","","1","1:1","O","ABERTURA DO BLOCO E"
"E","E100","True","","","","","","2","1:N","O","PERÍODO DA APURAÇÃO DO ICMS"
"E","E110","True","","","","","","3","1:1","O","Valores de Apuração"
"E","E111","","","","","","","4","1:N","","Ajuste/Benefício/Incentivo"
"E","E112","","","","","","","5","1:N","","Informações Adicionais da Apuração"
"E","E113","","","","","","","5","1:N","","Identificação dos Documentos Fiscais"
"E","E115","","","","","","","4","1:N","","Informações Adicionais – Valores Declaratórios"
"E","E116","","","","","","","4","1:N","","Obrigações do ICMS recolhido ou a recolher - Operações Próprias"
"E","E200","","","","","","","2","1:N","","PERÍODO DA APURAÇÃO DO ICMS - SUBSTITUIÇÃO TRIBUTÁRIA"
"E","E210","True","","","","","","3","1:1","O","Valores de Apuração"
"E","E220","","","","","","","4","1:N","","Ajuste/Benefício/Incentivo"
"E","E230","","","","","","","5","1:N","","Informação Adicional da Apuração ICMS-ST"
"E","E240","","","","","","","5","1:N","","Identificação dos Documentos Fiscais"
"E","E250","","","","","","","4","1:N","","Obrigações do ICMS recolhido ou a recolher - Substituição Tributária"
"E","E300","","","","","","","2","1:N","","Período de apuração do ICMS diferencial de alíquota – UF origem/destino EC 87/15"
"E","E310","True","","","","","","3","1:1","O","Apuração do ICMS diferencial de alíquota – UF origem/destino EC 87/15"
"E","E311","","","","","","","4","1:N","","Ajuste/benefício/incentivo da apuração do Fundo de Combate à Pobreza e do ICMS Diferencial de Alíquota UF origem/destino EC 87/15"
"E","E312","","","","","","","5","1:N","","Informações adicionais dos ajustes da apuração do Fundo de Combate à Pobreza e do ICMS diferencial de alíquota – UF origem/destino EC 87/15"
"E","E313","","","","","","","5","1:N","","Informações adicionais da apuração do Fundo de Combate à Pobreza e do ICMS diferencial de alíquota – UF origem/destino EC 87/15 identificação dos documentos fiscais"
"E","E316","","","","","","","4","1:N","","Obrigações Recolhidas ou à recolher - Fundo de Combate à Pobreza e ICMS diferencial de alíquota UF origem/destino EC 87/15"
"E","E500","","","","","","","2","1:N","","PERÍODO DE APURAÇÃO DO IPI"
"E","E510","","","","","","","3","1:N","","Valores Consolidados"
"E","E520","True","","","","","","3","1:1","O","Apuração"
"E","E530","","","","","","","4","1:N","","Ajustes"
"E","E531","","","","","","","4","1:N","","Informações Adicionais dos Ajustes da Apuração do IPI – identificação dos documentos fiscais e suas respectivas regras de importação e validação"
"E","E990","True","","","","","","1","1:1","O","ENCERRAMENTO DO BLOCO E"
"G","G001","True","","","","","","1","1:1","O","Abertura do Bloco G"
"G","G110","","","","","","","2","1:N","","ICMS – Ativo Permanente – CIAP"
"G","G125","True","","","","","","3","1:N","O","Movimentação de bem ou componente do Ativo Imobilizado"
"G","G126","","","","","","","4","1:N","","Outros créditos CIAP"
"G","G130","","","","","","","4","1:N","","Identificação do documento fiscal"
"G","G140","True","","","","","","5","1:N","O","Identificação do item do documento fiscal"
"G","G990","True","","","","","","1","1:1","O","Encerramento do Bloco G"
"H","H001","True","","","","","","1","1:1","O","ABERTURA DO BLOCO H"
"H","H005","","","","True","","","2","1:N","OC","Totais do Inventário"
"H","H010","","","","","","","3","1:N","","INVENTÁRIO"
"H","H020","","","","","","","4","1:N","","INFORMAÇÃO COMPLEMENTAR DO INVENTÁRIO"
"H","H030","","","","","","","4","1:1","","INFORMAÇÕES COMPLEMENTARES DO INVENTÁRIO DAS MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA"
"H","H990","True","","","","","","1","1:1","O","ENCERRAMENTO DO BLOCO H"
"K","K001","True","","","","","","1","1:1","O","ABERTURA DO BLOCO K"
"K","K010","","","","True","","","2","1:1","OC","Informação sobre o Tipo de Leiaute (Completo/Simplificado)"
"K","K100","","","","","","","2","1:N","","Período de Apuração do ICMS/IPI"
"K","K200","","","","","","","3","1:N","","Estoque Escriturado"
"K","K210","","","","","","","3","1:N","","Desmontagem de Mercadoria - Item de Origem"
"K","K215","","","","","","","4","1:N","","Desmontagem de Mercadoria - Item de Destino"
"K","K220","","","","","","","3","1:N","","Outras Movimentações Internas entre Mercadorias"
"K","K230","","","","","","","3","1:N","","Itens Produzidos"
"K","K235","","","","","","","4","1:N","","Insumos Consumidos"
"K","K250","","","","","","","3","1:N","","Industrialização Efetuada por Terceiros – Itens Produzidos"
"K","K255","","","","True","","","4","1:N","OC","Industrialização em Terceiros – Insumos Consumidos"
"K","K260","","","","","","","3","1:N","","Reprocessamento/Reparo de produto/insumo"
"K","K265","","","","","","","4","1:N","","Reprocessamento/Reparo - mercadorias consumidas e/ou retornadas"
"K","K270","","","","","","","3","1:N","","Correção de apontamento dos registros K210, K220, K230, K250 E K260"
"K","K275","","","","","","","4","1:N","","Correção de apontamento e retorno de insumos dos registros K215, K220, K235, K255 e K265"
"K","K280","","","","","","","3","1:N","","Correção de Apontamento - Estoque Escriturado"
"K","K290","","","","","","","3","1:N",""," Produção Conjunta - Ordem de Produção"
"K","K291","","","","","","","4","1:N","","Produção Conjunta – Itens Produzidos"
"K","K292","","","","","","","4","1:N","","Produção Conjunta – Insumos Consumidos"
"K","K300","","","","","","","3","1:N","","Produção Conjunta - Industrialização Efetuada por Teceiros"
"K","K301","True","","","","","","4","1:N","O","Produção Conjunta – Industrialização Efetuada por Terceiros - Itens Produzidos"
"K","K302","","","","True","","","4","1:N","OC","Produção Conjunta – Industrialização Efetuada por Terceiros - Insumos Consumidos"
"K","K990","True","","","","","","1","1:1","O","ENCERRAMENTO DO BLOCO K"
"1","1001","True","","","","","","1","1:1","O","ABERTURA DO BLOCO 1"
"1","1010","True","","","","","","2","1:1","O","OBRIGATORIEDADE DE REGISTROS DO BLOCO 1"
"1","1100","","","","","","","2","1:N","","Exportação"
"1","1105","","","","","","","3","1:N","","Documento Fiscal de Exportação"
"1","1110","","","","","","","4","1:N","","OPERAÇÕES DE EXPORTAÇÃO INDIRETA DE PRODUTOS NÃO INDUSTRIALIZADOS PELO ESTABELECIMENTO EMITENTE"
"1","1200","","","","","","","2","1:N","","CONTROLE DE CRÉDITOS FISCAIS - ICMS"
"1","1210","","","","","","","3","1:N","","UTILIZAÇÃO DE CRÉDITOS FISCAIS - ICMS"
"1","1250","","","","","","","2","1:1","","Informações Consolidadas de Saldos de Restituição, Ressarcimento e Complementação do ICMS"
"1","1255","","","","","","","3","1:N","","Informações Consolidadas de Saldos de Restituição, ressarcimento e complementação do ICMS por motivo"
"1","1300","","","","","","","2","1:N","","Movimentação Diária"
"1","1310","True","","","","","","3","1:N","O","Movimentação Diária por Tanque"
"1","1320","","","","True","","","4","1:N","OC","Volume de Vendas"
"1","1350","","","","True","","","2","1:N","OC","Bombas"
