"register","index","code","type","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","length","xsd_type","decimal","spec_type","spec_required","desc"
"C113","6","SER","char","","","","","","","004","","","C","","Série do documento fiscal"
"C113","7","SUB","char","","","","","","","003","numeric_code","","N","","Subsérie do documento fiscal"
"C113","8","NUM_DOC","char","True","","","","","","009","numeric_code","","N","O","Número do documento fiscal"
"C113","9","DT_DOC","date","True","","","","","","008*","","","D","O","Data da emissão do documento fiscal"
"C113","10","CHV_DOCE","char","","","","","","","044*","","","C","","Chave do documento eletrônico"
"C114","2","COD_MOD","char","True","","","","","","002*","","","C","O","Código do modelo do documento fiscal, conforme a tabela de Codificação dos Documentos"
"C114","3","ECF_FAB","char","True","","","","","","021","","","C","O","Número de série de fabricação do ECF"
"C114","4","ECF_CX","char","True","","","","","","003","numeric_code","","N","O","Número do caixa atribuído ao ECF"
"C114","5","NUM_DOC","char","True","","","","","","009","numeric_code","","N","O","Número do documento fiscal"
"C114","6","DT_DOC","date","True","","","","","","008*","","","D","O","Data da emissão do documento fiscal"
