"register","field","values"
"K270","ORIGEM","1=Correção de apontamento de produção e/ou consumo relativo aos Registros K230/K235;2=Correção de apontamento de produçãoe/ou consumo relativo aos Registros K250/K255;3=Correção de apontamento de desmontagem e/ou consumo relativo aos Registros K210/K215;4=Correção de apontamento de reprocessamento/reparo e/ou consumo relativo aos Registros K260/K265;5=Correção de apontamento de movimentação interna relativo ao Registro K220;6=Correção de apontamento de produção relativo ao Registro K291;7=Correção de apontamento de consumo relativo ao Registro K292;8=Correção de apontamento de produção relativo ao Registro K301;9=Correção de apontamento de consumo relativo ao Registro K302."
"K280","IND_EST","0=Estoque de propriedade do informante e em seu poder;1=Estoque de propriedade do informante e em posse de terceiros;2=Estoque de propriedade de terceiros e em posse do informante"
"1001","IND_MOV","0=Bloco com dados informados;1=Bloco sem dados informados"
"1010","IND_EXP","S=Sim;N=Não"
"1010","IND_CCRF","S=Sim;N=Não"
"1010","IND_COMB","S=Sim;N=Não"
"1010","IND_USINA","S=Sim;N=Não"
"1010","IND_VA","S=Sim;N=Não"
"1010","IND_EE","S=Sim;N=Não"
"1010","IND_CART","S=Sim;N=Não"
"1010","IND_FORM","S=Sim;N=Não"
"1010","IND_AER","S=Sim;N=Não"
"1010","IND_GIAF1","S=Sim;N=Não"
"1010","IND_GIAF3","S=Sim;N=Não"
"1010","IND_GIAF4","S=Sim;N=Não"
"1010","IND_REST_RESSARC_COMPL_ICMS","S=Sim;N=Não"
"1100","IND_DOC","0=Declaração de Exportação;1=Declaração Simplificada de Exportação;2=Declaração Única de Exportação(DU-E)"
"1100","NAT_EXP","0=Exportação Direta;1=Exportação Indireta"
"1105","COD_MOD","01=Nota Fiscal;55=Nota Fiscal Eletrônica"
"1110","COD_MOD","01=Nota Fiscal;1B=Nota Fiscal Avulsa;04=Nota Fiscal de Produtor;55=Nota Fiscal Eletrônica"
"1350","TIPO_MEDICAO","0=Analógico;1=Digital"
"1391","TP_RESIDUO","01=Bagaço de cana;02=DDG;03=WDG;04=DDG+WDG"
"1500","TP_LIGACAO","1=Monofásico;2=Bifásico;3=Trifásico"
"1500","COD_GRUPO_TENSAO","01=A1 - Alta Tensão (230kV ou mais);02=A2 - Alta Tensão (88 a 138kV);03=A3 - Alta Tensão (69kV);04=A3a - Alta Tensão (30kV a 44kV);05=A4 - Alta Tensão (2,3kV a 25kV);06=AS - Alta Tensão Subterrâneo 06;07=B1 - Residencial 07;08=B1 - Residencial Baixa Renda 08;09=B2 - Rural 09;10=B2 - Cooperativa de Eletrificação Rural;11=B2 - Serviço Público de Irrigação;12=B3 - Demais Classes;13=B4a - Iluminação Pública - rede de distribuição;14=B4b - Iluminação Pública - bulbo de lâmpada"
"1510","IND_REC","0=Receita própria;1=Receita de terceiros"
"1700","COD_DISP","00=Formulário de Segurança - impressor autônomo;01=FS-DA – Formulário de Segurança para Impressão de DANFE;02=Formulário de segurança - NF-e;03=Formulário Contínuo;04=Blocos;05=Jogos Soltos"
"1900","IND_APUR_ICMS","3=APURAÇÃO 1;4=APURAÇÃO 2;5=APURAÇÃO 3;6=APURAÇÃO 4;7=APURAÇÃO 5;8=APURAÇÃO 6"
"1922","IND_PROC","0=SEFAZ;1=Justiça Federal;2= Justiça Estadual;9= Outros"
"1926","IND_PROC","0=SEFAZ;1=Justiça Federal;2=Justiça Estadual;9=Outros"
"1975","ALIQ_IMP_BASE","3,50=03,50%;6,00=06,00%;8,00=08,00%;10,00=10,00%"
"9900","REG_BLC","0000;0001;0002;0005;0015;0100;0150;0175;0190;0200;0205;0206;0210;0220;0221;0300;0305;0400;0450;0460;0500;0600;0990;B001;B020;B025;B030;B035;B050;B350;B420;B440;B460;B470;B500;B510;B990;C001;C100;C101;C105;C110;C111;C112;C113;C114;C115;C116;C120;C130;C140;C141;C160;C165;C170;C171;C172;C173;C174;C175;C176;C177;C178;C179;C180;;C181;C186;C185;C190;C191;C195;C197;C300;C310;C320;C321;C330;C350;C370;C380;C390;C400;C405;C410;C420;C425;C430;C460;C465;C470;C480;C490;C500;C510;C590;C591;C595;C597;C600;C601;C610;C690;C700;C790;C791;C800;C810;C815;C850;C855;C857;C860;C870;C880;C890;C895;C897;C990;D001;D100;D101;D110;D120;D130;D140;D150;D160;D161;D162;D170;D180;D190;D195;D197;D300;D301;D310;D350;D355;D360;D365;D370;D390;D400;D410;D411;D420;D500;D510;D530;D590;D600;D610;D690;D695;D696;D697;D700;D730;D731;D735;D737;D750;D760;D761;D990;E001;E100;E110;E111;E112;E113;E115;E116;E200;E210;E220;E230;E240;E250;E300;E310;E311;E312;E313;E316;E500;E510;E520;E530;E531;E990;G001;G110;G125;G126;G130;G140;G990;H001;H005;H010;H020;H030;H990;K001;K010;K100;K200;K210;K215;K220;K230;K235;K250;K255;K260;K265;K270;K275;K280;K290;K291;K292;K300;K301;K302;K990;1001;1010;1100;1105;1110;1200;1210;1250;1255;1300;1310;1320;1350;1360;1370;1390;1391;1400;1500;1510;1601;1700;1710;1800;1900;1910;1920;1921;1922;1923;1925;1926;1960;1970;1975;1980;1990;9001;9900;9990;9999"
