"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"C105","pva","1","REG","Texto fixo contendo “C105”","C","004*","","OC","",""
"C105","pva","2","OPER","Indicador do tipo de operação: 0-Combustíveis e Lubrificantes; 1-Leasing de veículos ou faturamento direto; 2-Recusa de recebimento (de acordo com as condições descritas nas instruções do Registro)","N","001*","","O","",""
"C105","pva","3","COD_UF","Sigla da UF de destino do ICMS_ST","C","002*","","O","",""
"C110","pva","1","REG","Texto fixo contendo “C110”","C","004*","","OC","",""
"C110","pva","2","COD_INF","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)","C","006","","O","",""
"C110","pva","3","TXT_COMPL","Descrição complementar do código de referência","C","","","","",""
"C111","pva","1","REG","Texto fixo contendo “C111”","C","004*","","","",""
"C111","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","060","","O","",""
"C111","pva","3","IND_PROC","Indicador da origem do processo","C","001","","O","",""
"C112","pva","1","REG","Texto fixo contendo “C112”","C","004*","","","",""
"C112","pva","2","COD_DA","Código do modelo do documento de arrecadação","C","001","","O","",""
"C112","pva","3","UF","Unidade federada beneficiária do recolhimento","C","002*","","O","",""
"C112","pva","4","NUM_DA","Número do documento de arrecadação","C","","","","",""
"C112","pva","5","COD_AUT","Código completo da autenticação bancária","C","","","","",""
"C112","pva","6","VL_DA","Valor do total do documento de arrecadação (principal, atualização monetária, juros e multa)","N","","2","O","",""
"C112","pva","7","DT_VCTO","Data de vencimento do documento de arrecadação","D","008*","","O","",""
"C112","pva","8","DT_PGTO","Data de pagamento do documento de arrecadação, ou data do vencimento, no caso de ICMS antecipado a recolher","D","008*","","O","",""
"C113","pva","1","REG","Texto fixo contendo “C113”","C","004*","","","",""
"C113","pva","2","IND_OPER","Indicador do tipo de operação","C","001*","","O","",""
"C113","pva","3","IND_EMIT","Indicador do emitente do Documento Fiscal","C","001*","","O","",""
"C113","pva","4","COD_PART","Código do participante emitente (campo 02 do Registro 0150) do documento referenciado","C","060","","","",""
"C113","pva","5","COD_MOD","Código do documento fiscal, conforme a tabela de Codificação dos Documentos","C","002*","","O","",""
"C113","pva","6","SER","Série do documento fiscal","C","004","","","",""
"C113","pva","7","SUB","Subsérie do documento fiscal","N","003","","","",""
"C113","pva","8","NUM_DOC","Número do documento fiscal","N","009","","O","",""
"C113","pva","9","DT_DOC","Data da emissão do documento fiscal","D","008*","","O","",""
"C113","pva","10","CHV_DOCE","Chave do documento eletrônico","C","044*","","","",""
"C114","pva","1","REG","Texto fixo contendo “C114”","C","004*","","","",""
"C114","pva","2","COD_MOD","Código do modelo do documento fiscal, conforme a tabela de Codificação dos Documentos","C","002*","","O","",""
"C114","pva","3","ECF_FAB","Número de série de fabricação do ECF","C","021","","O","",""
