"register","field","rule","severity","reads","message"
"C100","CHV_NFE","REGRA_COMPARA_CODIGO_MODELO","2","","O modelo da chave do documento eletrônico não confere com o modelo do documento."
"C100","COD_SIT","REGRA_VALIDA_SITUACAO_PARA_NFE_A7E2V1","2","COD_MOD",""
"C100","CHV_NFE","REGRA_OBRIGATORIO_CHV_NFE_CTE_A13E1V2","2","COD_MOD;IND_EMIT",""
"C100","CHV_NFE","REGRA_OBRIGATORIO_CHV_NFE_CTE_TERCEIROS_12001_V1","2","COD_MOD;IND_EMIT",""
"C100","IND_EMIT","REGRA_IND_EMIT","2","IND_OPER","Documento fiscal emitido por terceiros deverá ter indicador de operação = Zero (entradas)."
"C100","COD_SIT","REGRA_DOCUMENTO_NORMAL_DT_ES","2","IND_OPER;DT_E_S;DT_DOC",""
"C100","COD_SIT","REGRA_DOCUMENTO_EXTEMPORANEO_DT_E_S","2","IND_OPER;DT_E_S;DT_DOC",""
"C100","COD_PART","REGRA_OBRIGATORIO_COD_PART","2","COD_SIT;IND_EMIT","Campo de preenchimento obrigatório."
"C100","CHV_NFE","REGRA_CHAVE_REGIME_ESPECIAL_NFE","2","IND_OPER;IND_EMIT;COD_MOD;COD_SIT",""
"C100","CHV_NFE","REGRA_OBRIGATORIO_CHVE_NFCE_A7E2V1","2","COD_MOD","O campo chave é obrigatório para modelo de documento igual a 65 - NF Eletrônica para consumidor final e código da situação diferente de 05 - NFe, NFC-e ou CT-e Numeração inutilizada."
"C100","IND_EMIT","REGRA_IND_EMIT_NFCE","2","COD_MOD","O campo indicador do emitente deve ser igual a '0' para modelo de documento igual a 65 - NF Eletrônica para consumidor final."
"C100","","REGRA_VALIDA_SERIE_CHAVE","2","","O campo série que compõe a chave do documento fiscal eletrônico deverá ser igual ao campo Série informado no registro.##MSG_VALIDA_SERIE_CHAVE_RESUMO"
"C100","","REGRA_COMPARA_CNPJ_NFE_PARTICIPANTE_12001_V1","6","","O CNPJ/CPF da chave do documento eletrônico não confere com o CNPJ/CPF do participante informado."
"C100","","REGRA_VALIDA_VL_ABAT_NT","6","","O somatório do campos 38 ""VL_ABAT_NT"" dos Registros C170 está diferente do valor informado no Campo 15 do Registro C100."
"C100","","REGRA_MULTIPLAS_OCORRENCIAS_C100","6","","Não devem existir dois ou mais registros C100 com a mesma combinação de campos IND_EMIT, COD_SIT, COD_PART, SER e NUM_DOC."
"C100","","REGRA_VL_ICMS_MAIOR_VL_DOC_C100","6","","A soma dos valores informados no campo VL_ICMS dos ajustes não devem ser igual ou superior ao valor total documento informado no registro pai C100 - VL_DOC."
"C100","IND_OPER","REGRA_IND_OPER_NFCE_12001_V1","0","COD_MOD",""
"C100","NUM_DOC","REGRA_MAIOR_ZERO","1","","Valor informado deve ser maior que Zero."
"C100","CHV_NFE","REGRA_CHVDFE_MODELO_12001_V1","1","COD_MOD",""
"C100","DT_DOC","REGRA_DATA_VALIDA_A4E5V1","0","",""
"C100","DT_DOC","REGRA_DATA_MINIMA_DOC_FISCAL","1","","A data deverá ser maior ou igual a 01/01/2000."
"C100","DT_E_S","REGRA_DATA_VALIDA_A4E5V1","0","",""
"C100","DT_E_S","REGRA_DATA_MINIMA_DOC_FISCAL","1","","A data deverá ser maior ou igual a 01/01/2000."
"C101","","REGRA_SOMENTE_INFORMAR_SE_OIE_V2","6","",""
"C105","","REGRA_REGISTRO_OBRIGATORIO_15001_V1","obrigatoriedade","",""
