"register","index","code","type","required","length","xsd_type","decimal","spec_type","spec_required","desc"
"0900","14","REC_TOTAL_PERIODO","float","True","","","2","N","O","Receita total (Soma dos campos 02, 04, 06, 08, 10 e 12)"
"0900","15","REC_TOTAL_NRB_PERIODO","float","","","","2","N","","Parcela da receita total escriturada (Campo 14) não classificada como receita bruta (Soma dos campos 03, 05, 07, 09, 11 e 13)"
"0990","2","QTD_LIN_0","int","True","","","","N","O","Quantidade total de linhas do Bloco 0"
"A001","2","IND_MOV","char","True","001","","","C","O","Indicador de movimento"
"A010","2","CNPJ","char","True","014*","numeric_code","","N","O","Número de inscrição do estabelecimento no CNPJ"
"A100","2","IND_OPER","char","True","001*","","","C","O","Indicador do tipo de operação"
"A100","3","IND_EMIT","char","True","001*","","","C","O","Indicador do emitente do documento fiscal"
"A100","4","COD_PART","char","","060","","","C","","Código do participante (campo 02 do Registro 0150): emitente do documento, no caso de emissão de terceiros; adquirente, no caso de serviços prestados"
"A100","5","COD_SIT","char","True","002*","numeric_code","","N","O","Código da situação do documento fiscal"
"A100","6","SER","char","","020","","","C","","Série do documento fiscal"
"A100","7","SUB","char","","020","","","C","","Subsérie do documento fiscal"
"A100","8","NUM_DOC","char","True","128","","","C","O","Número do documento fiscal ou documento internacional equivalente"
"A100","9","CHV_NFSE","char","","128","","","C","","Chave da nota fiscal de serviço eletronica"
"A100","10","DT_DOC","date","True","008*","","","D","O","Data da emissão do documento fiscal"
"A100","11","DT_EXE_SERV","date","","008*","","","D","","Data de Execução / Conclusão do Serviço"
"A100","12","VL_DOC","float","True","","","2","N","O","Valor total do documento"
"A100","13","IND_PGTO","char","True","001*","","","C","O","Indicador do tipo de pagamento"
"A100","14","VL_DESC","float","","","","2","N","","Valor total do desconto"
"A100","15","VL_BC_PIS","float","True","","","2","N","O","Valor da base de cálculo do PIS/Pasep"
"A100","16","VL_PIS","float","True","","","2","N","O","Valor total do PIS"
"A100","17","VL_BC_COFINS","float","True","","","2","N","O","Valor da base de cálculo da COFINS"
"A100","18","VL_COFINS","float","True","","","2","N","O","Valor total da COFINS"
"A100","19","VL_PIS_RET","float","","","","2","N","","Valor total do PIS retido na fonte"
"A100","20","VL_COFINS_RET","float","","","","2","N","","Valor total da COFINS retido na fonte"
"A100","21","VL_ISS","float","","","","2","N","","Valor do ISS"
"A110","2","COD_INF","char","True","006","","","C","O","Codigo da informação complementar do documento fiscal (Campo 02 do Registro 0450)"
"A110","3","TXT_COMPL","char","","","","","C","","Informação Complementar do Documento Fiscal"
"A111","2","NUM_PROC","char","True","020","","","C","O","Identificação do processo ou ato concessório"
"A111","3","IND_PROC","char","True","001*","","","C","O","Indicador da origem do processo"
"A120","2","VL_TOT_SERV","float","True","","","2","N","O","Valor total do serviço, prestado por pessoa física ou jurídica domiciliada no exterior"
"A120","3","VL_BC_PIS","float","True","","","2","N","O","Valor da base de cálculo da Operação - PIS/Pasep - Importação"
"A120","4","VL_PIS_IMP","float","","","","2","N","","Valor pago/recolhido de PIS/Pasep - Importação"
"A120","5","DT_PAG_PIS","date","","008*","","","D","","Data de pagamento do PIS/Pasep - Importação"
"A120","6","VL_BC_COFINS","float","True","","","2","N","O","Valor da base de cálculo da Operação - COFINS - Importação"
"A120","7","VL_COFINS_IMP","float","","","","2","N","","Valor pago/recolhido de COFINS - Importação"
"A120","8","DT_PAG_COFINS","date","","008*","","","D","","Data de pagamento do COFINS - Importação"
"A120","9","LOC_EXE_SERV","char","True","001*","","","C","O","Local da execução do serviço"
"A170","2","NUM_ITEM","char","True","004","numeric_code","","N","O","Número sequencial do item no documento fiscal"
"A170","3","COD_ITEM","char","True","060","","","C","O","Código do item (campo 02 do Registro 0200)"
"A170","4","DESCR_COMPL","char","","","","","C","","Descrição complementar do item como adotado no documento fiscal"
"A170","5","VL_ITEM","float","True","","","2","N","O","Valor total do item (mercadorias ou serviços)"
"A170","6","VL_DESC","float","","","","2","N","","Valor do desconto do item / Exclusão"
"A170","7","NAT_BC_CRED","char","","002","","","C","","Código da Natureza da Base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7, caso seja informado código representativo de crédito no Campo CST_PIS ou CST_COFINS"
"A170","8","IND_ORIG_CRED","char","","001*","","","C","","Indicador da origem do crédito"
"A170","9","CST_PIS","char","True","002*","numeric_code","","N","O","Código da Situação Tributária referente ao PIS/Pasep - Tabela 4.3.3"
"A170","10","VL_BC_PIS","float","","","","2","N","","Valor da base de cálculo do PIS/Pasep"
"A170","11","ALIQ_PIS","float","","","","4","N","","Alíquota do PIS/Pasep (em percentual)"
"A170","12","VL_PIS","float","","","","2","N","","Valor do PIS/Pasep"
"A170","13","CST_COFINS","char","True","002*","numeric_code","","N","O","Código da Situação Tributária referente ao COFINS - Tabela 4.3.4"
"A170","14","VL_BC_COFINS","float","","","","2","N","","Valor da base de cálculo da COFINS"
"A170","15","ALIQ_COFINS","float","","006","","4","N","","Alíquota do COFINS (em percentual)"
"A170","16","VL_COFINS","float","","","","2","N","","Valor da COFINS"
"A170","17","COD_CTA","char","","255","","","C","","Código da conta analítica contábil debitada/creditada"
"A170","18","COD_CCUS","char","","255","","","C","","Código do centro de custos"
"A990","2","QTD_LIN_A","int","True","","","","N","O","Quantidade total de linhas do Bloco A"
"C001","2","IND_MOV","char","True","001","","","C","O","Indicador de movimento"
"C010","2","CNPJ","char","True","014*","numeric_code","","N","O","Número de inscrição do estabelecimento no CNPJ"
"C010","3","IND_ESCRI","char","","001*","","","C","","Indicador da apuração das contribuições e créditos, na escrituração das operações por NF-e e ECF, no período"
"C100","2","IND_OPER","char","True","001*","","","C","O","Indicador do tipo de operação"
"C100","3","IND_EMIT","char","True","001*","","","C","O","Indicador do emitente do documento fiscal"
"C100","4","COD_PART","char","True","060","","","C","O","Código do participante (campo 02 do Registro 0150): emitente do documento ou do remetente das mercadorias, no caso de entradas; adquirente, no caso de saídas"
"C100","5","COD_MOD","char","True","002*","","","C","O","Código do modelo do documento fiscal, conforme a Tabela 4.1.1"
"C100","6","COD_SIT","char","True","002*","numeric_code","","N","O","Código da situação do documento fiscal"
"C100","7","SER","char","","003","","","C","","Série do documento fiscal"
"C100","8","NUM_DOC","char","True","009","numeric_code","","N","O","Número do documento fiscal"
"C100","9","CHV_NFE","char","","044*","numeric_code","","N","","Chave da NF-e / NFC-e"
"C100","10","DT_DOC","date","True","008*","","","D","O","Data da emissão do documento fiscal"
"C100","11","DT_E_S","date","","008*","","","D","","Data da entrada ou da saída"
"C100","12","VL_DOC","float","True","","","2","N","O","Valor total do documento fiscal"
"C100","13","IND_PGTO","char","True","001*","","","C","O","Indicador do tipo de pagamento"
"C100","14","VL_DESC","float","","","","2","N","","Valor total do desconto"
"C100","15","VL_ABAT_NT","float","","","","2","N","","Abatimento não tributado e não comercial Ex. desconto ICMS nas remessas para ZFM"
"C100","16","VL_MERC","float","","","","2","N","","Valor total das mercadorias e serviços"
"C100","17","IND_FRT","char","True","001*","","","C","O","Indicador do tipo do frete"
"C100","18","VL_FRT","float","","","","2","N","","Valor do frete indicado no documento fiscal"
"C100","19","VL_SEG","float","","","","2","N","","Valor do seguro indicado no documento fiscal"
"C100","20","VL_OUT_DA","float","","","","2","N","","Valor de outras despesas acessórias"
"C100","21","VL_BC_ICMS","float","","","","2","N","","Valor da base de cálculo do ICMS"
"C100","22","VL_ICMS","float","","","","2","N","","Valor do ICMS"
"C100","23","VL_BC_ICMS_ST","float","","","","2","N","","Valor da base de cálculo do ICMS substituição tributária"
"C100","24","VL_ICMS_ST","float","","","","2","N","","Valor do ICMS retido por substituição tributária"
"C100","25","VL_IPI","float","","","","2","N","","Valor total do IPI"
"C100","26","VL_PIS","float","","","","2","N","","Valor total do PIS"
"C100","27","VL_COFINS","float","","","","2","N","","Valor total da COFINS"
"C100","28","VL_PIS_ST","float","","","","2","N","","Valor total do PIS retido por substituição tributária"
"C100","29","VL_COFINS_ST","float","","","","2","N","","Valor total da COFINS retido por substituição tributária"
"C110","2","COD_INF","char","True","006","","","C","O","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)"
"C110","3","TXT_COMPL","char","","","","","C","","Descrição complementar do código de referência"
"C111","2","NUM_PROC","char","True","020","","","C","O","Identificação do processo ou ato concessório"
"C111","3","IND_PROC","char","True","001*","","","C","O","Indicador da origem do processo"
"C120","2","COD_DOC_IMP","char","True","001*","","","C","O","Documento de importação"
"C120","3","NUM_DOC_IMP","char","True","015","","","C","O","Número do documento de Importação"
"C120","4","VL_PIS_IMP","float","","","","2","N","","Valor pago de PIS na importação"
"C120","5","VL_COFINS_IMP","float","","","","2","N","","Valor pago de COFINS na importação"
"C120","6","NUM_ACDRAW","char","","020","","","C","","Número do Ato Concessório do regime Drawback"
"C170","2","NUM_ITEM","char","True","003","numeric_code","","N","O","Número seqüencial do item no documento fiscal"
"C170","3","COD_ITEM","char","True","060","","","C","O","Código do item (campo 02 do Registro 0200)"
"C170","4","DESCR_COMPL","char","","","","","C","","Descrição complementar do item como adotado no documento fiscal"
"C170","5","QTD","float","","","","5","N","","Quantidade do item"
"C170","6","UNID","char","","006","","","C","","Unidade do item (Campo 02 do registro 0190)"
"C170","7","VL_ITEM","float","True","","","2","N","O","Valor total do item (mercadorias ou serviços)"
"C170","8","VL_DESC","float","","","","2","N","","Valor do desconto comercial"
"C170","9","IND_MOV","char","","001","","","C","","Movimentação física do ITEM/PRODUTO"
"C170","10","CST_ICMS","char","","003*","numeric_code","","N","","Código da Situação Tributária referente ao ICMS, conforme a Tabela indicada no item 4.3.1"
"C170","11","CFOP","char","True","004*","numeric_code","","N","O","Código Fiscal de Operação e Prestação"
"C170","12","COD_NAT","char","","010","","","C","","Código da natureza da operação (campo 02 do Registro 0400)"
"C170","13","VL_BC_ICMS","float","","","","2","N","","Valor da base de cálculo do ICMS"
"C170","14","ALIQ_ICMS","float","","006","","2","N","","Alíquota do ICMS"
"C170","15","VL_ICMS","float","","","","2","N","","Valor do ICMS creditado/debitado"
"C170","16","VL_BC_ICMS_ST","float","","","","2","N","","Valor da base de cálculo referente à substituição tributária"
"C170","17","ALIQ_ST","float","","006","","2","N","","Alíquota do ICMS da substituição tributária na unidade da federação de destino"
"C170","18","VL_ICMS_ST","float","","","","2","N","","Valor do ICMS referente à substituição tributária"
"C170","19","IND_APUR","char","","001*","","","C","","Indicador de período de apuração do IPI"
"C170","20","CST_IPI","char","","002*","","","C","","Código da Situação Tributária referente ao IPI, conforme a Tabela indicada no item 4.3.2."
"C170","21","COD_ENQ","char","","003*","","","C","","Código de enquadramento legal do IPI, conforme tabela indicada no item 4.5.3."
"C170","22","VL_BC_IPI","float","","","","2","N","","Valor da base de cálculo do IPI"
"C170","23","ALIQ_IPI","float","","006","","2","N","","Alíquota do IPI"
"C170","24","VL_IPI","float","","","","2","N","","Valor do IPI creditado/debitado"
"C170","25","CST_PIS","char","True","002*","numeric_code","","N","O","Código da Situação Tributária referente ao PIS"
"C170","26","VL_BC_PIS","float","","","","2","N","","Valor da base de cálculo do PIS"
"C170","27","ALIQ_PIS","float","","008","","4","N","","Alíquota do PIS (em percentual)"
"C170","28","QUANT_BC_PIS","float","","","","3","N","","Base de cálculo em quantidade PIS/Pasep"
"C170","29","ALIQ_PIS_QUANT","float","","","","4","N","","Alíquota do PIS (em reais)"
"C170","30","VL_PIS","float","","","","2","N","","Valor do PIS"
"C170","31","CST_COFINS","char","","002*","numeric_code","","N","","Código da Situação Tributária referente ao COFINS"
"C170","32","VL_BC_COFINS","float","","","","2","N","","Valor da base de cálculo da COFINS"
"C170","33","ALIQ_COFINS","float","","008","","4","N","","Alíquota do COFINS (em percentual)"
"C170","34","QUANT_BC_COFINS","float","","","","3","N","","Base de cálculo em quantidade COFINS"
"C170","35","ALIQ_COFINS_QUANT","float","","","","4","N","","Alíquota da COFINS (em reais)"
"C170","36","VL_COFINS","float","","","","2","N","","Valor da COFINS"
"C170","37","COD_CTA","char","","255","","","C","","Código da conta analítica contábil debitada/creditada"
"C175","2","CFOP","char","True","004*","numeric_code","","N","O","Código fiscal de operação e prestação"
"C175","3","VL_OPER","float","True","","","2","N","O","Valor da operação na combinação de CFOP, CST e alíquotas, correspondente ao somatório do valor das mercadorias e produtos constantes no documento"
"C175","4","VL_DESC","float","","","","2","N","","Valor do desconto comercial/Exclusão"
"C175","5","CST_PIS","char","True","002*","numeric_code","","N","O","Código da Situação Tributária referente ao PIS/Pasep, conforme a Tabela indicada no item 4.3.3."
