"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig"
"0900","pva","7","REC_NRB_BLOCO_D","Parcela da receita total escriturada no Bloco D (Campo 06) não classificada como receita bruta","N","","2",""
"0900","pva","8","REC_TOTAL_BLOCO_F","Receita total referente aos registros escriturados no Bloco F","N","","2","O"
"0900","pva","9","REC_NRB_BLOCO_F","Parcela da receita total escriturada no Bloco F (Campo 08) não classificada como receita bruta","N","","2",""
"0900","pva","10","REC_TOTAL_BLOCO_I","Receita total referente aos registros escriturados no Bloco I","N","","2","O"
"0900","pva","11","REC_NRB_BLOCO_I","Parcela da receita total escriturada no Bloco I (Campo 10) não classificada como receita bruta","N","","2",""
"0900","pva","12","REC_TOTAL_BLOCO_1","Receita total referente aos registros escriturados no Bloco 1 (RET)","N","","2","O"
"0900","pva","13","REC_NRB_BLOCO_1","Parcela da receita total escriturada no Bloco 1 (Campo 12) não classificada como receita bruta","N","","2",""
"0900","pva","14","REC_TOTAL_PERIODO","Receita total (Soma dos campos 02, 04, 06, 08, 10 e 12)","N","","2","O"
"0900","pva","15","REC_TOTAL_NRB_PERIODO","Parcela da receita total escriturada (Campo 14) não classificada como receita bruta (Soma dos campos 03, 05, 07, 09, 11 e 13)","N","","2",""
"0990","pva","1","REG","Texto fixo contendo “0990”","C","004","","O"
"0990","pva","2","QTD_LIN_0","Quantidade total de linhas do Bloco 0","N","","","O"
"A001","pva","1","REG","Texto fixo contendo “A001”","C","004","",""
"A001","pva","2","IND_MOV","Indicador de movimento","C","001","","O"
"A010","pva","1","REG","Texto fixo contendo “A010","C","004","","OC"
"A010","pva","2","CNPJ","Número de inscrição do estabelecimento no CNPJ","N","014*","","O"
"A100","pva","1","REG","Texto fixo contendo “A100”","C","004","","OC"
"A100","pva","2","IND_OPER","Indicador do tipo de operação","C","001*","","O"
"A100","pva","3","IND_EMIT","Indicador do emitente do documento fiscal","C","001*","","O"
"A100","pva","4","COD_PART","Código do participante (campo 02 do Registro 0150): emitente do documento, no caso de emissão de terceiros; adquirente, no caso de serviços prestados","C","060","",""
"A100","pva","5","COD_SIT","Código da situação do documento fiscal","N","002*","","O"
"A100","pva","6","SER","Série do documento fiscal","C","020","",""
"A100","pva","7","SUB","Subsérie do documento fiscal","C","020","",""
"A100","pva","8","NUM_DOC","Número do documento fiscal ou documento internacional equivalente","C","128","","O"
"A100","pva","9","CHV_NFSE","Chave da nota fiscal de serviço eletronica","C","128","",""
"A100","pva","10","DT_DOC","Data da emissão do documento fiscal","D","008*","","O"
"A100","pva","11","DT_EXE_SERV","Data de Execução / Conclusão do Serviço","D","008*","",""
"A100","pva","12","VL_DOC","Valor total do documento","N","","2","O"
"A100","pva","13","IND_PGTO","Indicador do tipo de pagamento","C","001*","","O"
"A100","pva","14","VL_DESC","Valor total do desconto","N","","2",""
"A100","pva","15","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2","O"
"A100","pva","16","VL_PIS","Valor total do PIS","N","","2","O"
"A100","pva","17","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2","O"
"A100","pva","18","VL_COFINS","Valor total da COFINS","N","","2","O"
"A100","pva","19","VL_PIS_RET","Valor total do PIS retido na fonte","N","","2",""
"A100","pva","20","VL_COFINS_RET","Valor total da COFINS retido na fonte","N","","2",""
"A100","pva","21","VL_ISS","Valor do ISS","N","","2",""
"A110","pva","1","REG","Texto fixo contendo “A110”","C","004","",""
"A110","pva","2","COD_INF","Codigo da informação complementar do documento fiscal (Campo 02 do Registro 0450)","C","006","","O"
"A110","pva","3","TXT_COMPL","Informação Complementar do Documento Fiscal","C","","",""
"A111","pva","1","REG","Texto fixo contendo “A111”","C","004","",""
"A111","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"A111","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"A120","pva","1","REG","Texto fixo contendo “A120”","C","004","",""
"A120","pva","2","VL_TOT_SERV","Valor total do serviço, prestado por pessoa física ou jurídica domiciliada no exterior","N","","2","O"
"A120","pva","3","VL_BC_PIS","Valor da base de cálculo da Operação - PIS/Pasep - Importação","N","","2","O"
"A120","pva","4","VL_PIS_IMP","Valor pago/recolhido de PIS/Pasep - Importação","N","","2",""
"A120","pva","5","DT_PAG_PIS","Data de pagamento do PIS/Pasep - Importação","D","008*","",""
"A120","pva","6","VL_BC_COFINS","Valor da base de cálculo da Operação - COFINS - Importação","N","","2","O"
"A120","pva","7","VL_COFINS_IMP","Valor pago/recolhido de COFINS - Importação","N","","2",""
"A120","pva","8","DT_PAG_COFINS","Data de pagamento do COFINS - Importação","D","008*","",""
"A120","pva","9","LOC_EXE_SERV","Local da execução do serviço","C","001*","","O"
"A170","pva","1","REG","Texto fixo contendo “A170”","C","004","","O"
"A170","pva","2","NUM_ITEM","Número sequencial do item no documento fiscal","N","004","","O"
"A170","pva","3","COD_ITEM","Código do item (campo 02 do Registro 0200)","C","060","","O"
"A170","pva","4","DESCR_COMPL","Descrição complementar do item como adotado no documento fiscal","C","","",""
"A170","pva","5","VL_ITEM","Valor total do item (mercadorias ou serviços)","N","","2","O"
"A170","pva","6","VL_DESC","Valor do desconto do item / Exclusão","N","","2",""
"A170","pva","7","NAT_BC_CRED","Código da Natureza da Base de Cálculo do Crédito, conforme a Tabela indicada no item 4.3.7, caso seja informado código representativo de crédito no Campo CST_PIS ou CST_COFINS","C","002","",""
"A170","pva","8","IND_ORIG_CRED","Indicador da origem do crédito","C","001*","",""
"A170","pva","9","CST_PIS","Código da Situação Tributária referente ao PIS/Pasep - Tabela 4.3.3","N","002*","","O"
"A170","pva","10","VL_BC_PIS","Valor da base de cálculo do PIS/Pasep","N","","2",""
"A170","pva","11","ALIQ_PIS","Alíquota do PIS/Pasep (em percentual)","N","","4",""
"A170","pva","12","VL_PIS","Valor do PIS/Pasep","N","","2",""
"A170","pva","13","CST_COFINS","Código da Situação Tributária referente ao COFINS - Tabela 4.3.4","N","002*","","O"
"A170","pva","14","VL_BC_COFINS","Valor da base de cálculo da COFINS","N","","2",""
"A170","pva","15","ALIQ_COFINS","Alíquota do COFINS (em percentual)","N","006","4",""
"A170","pva","16","VL_COFINS","Valor da COFINS","N","","2",""
"A170","pva","17","COD_CTA","Código da conta analítica contábil debitada/creditada","C","255","",""
"A170","pva","18","COD_CCUS","Código do centro de custos","C","255","",""
"A990","pva","1","REG","Texto fixo contendo “A990”","C","004","",""
"A990","pva","2","QTD_LIN_A","Quantidade total de linhas do Bloco A","N","","","O"
"C001","pva","1","REG","Texto fixo contendo “C001”","C","004","",""
"C001","pva","2","IND_MOV","Indicador de movimento","C","001","","O"
"C010","pva","1","REG","Texto fixo contendo “C010”","C","004","","OC"
"C010","pva","2","CNPJ","Número de inscrição do estabelecimento no CNPJ","N","014*","","O"
"C010","pva","3","IND_ESCRI","Indicador da apuração das contribuições e créditos, na escrituração das operações por NF-e e ECF, no período","C","001*","",""
"C100","pva","1","REG","Texto fixo contendo “C100”","C","004","","OC"
"C100","pva","2","IND_OPER","Indicador do tipo de operação","C","001*","","O"
"C100","pva","3","IND_EMIT","Indicador do emitente do documento fiscal","C","001*","","O"
"C100","pva","4","COD_PART","Código do participante (campo 02 do Registro 0150): emitente do documento ou do remetente das mercadorias, no caso de entradas; adquirente, no caso de saídas","C","060","","O"
"C100","pva","5","COD_MOD","Código do modelo do documento fiscal, conforme a Tabela 4.1.1","C","002*","","O"
"C100","pva","6","COD_SIT","Código da situação do documento fiscal","N","002*","","O"
"C100","pva","7","SER","Série do documento fiscal","C","003","",""
"C100","pva","8","NUM_DOC","Número do documento fiscal","N","009","","O"
"C100","pva","9","CHV_NFE","Chave da NF-e / NFC-e","N","044*","",""
"C100","pva","10","DT_DOC","Data da emissão do documento fiscal","D","008*","","O"
"C100","pva","11","DT_E_S","Data da entrada ou da saída","D","008*","",""
"C100","pva","12","VL_DOC","Valor total do documento fiscal","N","","2","O"
"C100","pva","13","IND_PGTO","Indicador do tipo de pagamento","C","001*","","O"
"C100","pva","14","VL_DESC","Valor total do desconto","N","","2",""
"C100","pva","15","VL_ABAT_NT","Abatimento não tributado e não comercial Ex. desconto ICMS nas remessas para ZFM","N","","2",""
"C100","pva","16","VL_MERC","Valor total das mercadorias e serviços","N","","2",""
"C100","pva","17","IND_FRT","Indicador do tipo do frete","C","001*","","O"
"C100","pva","18","VL_FRT","Valor do frete indicado no documento fiscal","N","","2",""
"C100","pva","19","VL_SEG","Valor do seguro indicado no documento fiscal","N","","2",""
"C100","pva","20","VL_OUT_DA","Valor de outras despesas acessórias","N","","2",""
"C100","pva","21","VL_BC_ICMS","Valor da base de cálculo do ICMS","N","","2",""
"C100","pva","22","VL_ICMS","Valor do ICMS","N","","2",""
"C100","pva","23","VL_BC_ICMS_ST","Valor da base de cálculo do ICMS substituição tributária","N","","2",""
"C100","pva","24","VL_ICMS_ST","Valor do ICMS retido por substituição tributária","N","","2",""
"C100","pva","25","VL_IPI","Valor total do IPI","N","","2",""
"C100","pva","26","VL_PIS","Valor total do PIS","N","","2",""
"C100","pva","27","VL_COFINS","Valor total da COFINS","N","","2",""
"C100","pva","28","VL_PIS_ST","Valor total do PIS retido por substituição tributária","N","","2",""
"C100","pva","29","VL_COFINS_ST","Valor total da COFINS retido por substituição tributária","N","","2",""
"C110","pva","1","REG","Texto fixo contendo “C110”","C","004","",""
"C110","pva","2","COD_INF","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)","C","006","","O"
"C110","pva","3","TXT_COMPL","Descrição complementar do código de referência","C","","",""
"C111","pva","1","REG","Texto fixo contendo “C111”","C","004","",""
"C111","pva","2","NUM_PROC","Identificação do processo ou ato concessório","C","020","","O"
"C111","pva","3","IND_PROC","Indicador da origem do processo","C","001*","","O"
"C120","pva","1","REG","Texto fixo contendo “C120”","C","004","",""
"C120","pva","2","COD_DOC_IMP","Documento de importação","C","001*","","O"
"C120","pva","3","NUM_DOC_IMP","Número do documento de Importação","C","015","","O"
"C120","pva","4","VL_PIS_IMP","Valor pago de PIS na importação","N","","2",""
"C120","pva","5","VL_COFINS_IMP","Valor pago de COFINS na importação","N","","2",""
"C120","pva","6","NUM_ACDRAW","Número do Ato Concessório do regime Drawback","C","020","",""
